代號,除息日,息值(元),前一日收盤價,除息參考價,20日後收盤價,60日後收盤價,120日後收盤價,240日後收盤價,20日最高價,60日最高價,120日最高價,240日最高價,industry,RSI10,RSI14,MOM5,MOM10,new_h_5,new_h_10,new_h_20,new_h_60,new_l_5,new_l_10,new_l_20,new_l_60,above_MA5,above_MA10,above_MA20,above_MA60,MA5>10,MA10>20,MA20>60,Bias5_P,Bias10_P,Bias20_P,Bias60_P,Bias5_V,Bias10_V,Bias20_V,Bias60_V,ROC_II_20,PE_level,ROE,DPR,dividend_yield,20日內填息,60日內填息,120日內填息,240日內填息,20日內位階,60日內位階,120日內位階,240日內位階,20日填息率,60日填息率,120日填息率,240日填息率,20日內賺錢,60日內賺錢,120日內賺錢,240日內賺錢,20日不設限填息率,60日不設限填息率,120日不設限填息率,240日不設限填息率
3234,2016-06-15,5.0,98.16,93.16,89.26,70.58,52.15,39.28,100.68,100.68,100.68,100.68,3,59.989757151804504,56.390799821945556,-1.0999999999999943,1.5,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0.0012690355329950322,0.003051106025934481,0.06556823553244659,-0.03564880831126494,0.09238632528087173,-0.11318575930166562,-0.27734094642657775,-0.2616292176029159,25.106161566995098,4,4.73,0.5065856129685916,0.06337135614702154,0,0,0,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,0,0,0,-1.0,-1.0,-1.0,-1.0
1776,2016-06-15,1.59,18.36,16.77,17.17,17.17,15.69,16.54,19.02,19.02,19.02,19.02,2,57.58299338209276,58.40346604135156,1.7999999999999972,1.7999999999999972,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,-0.0033975084937712292,0.03124999999999993,0.056739717802461676,0.0,-0.5771384437150029,-0.3058637083993661,-0.08502193440568204,0.0,0.0,4,2.87,0.7681159420289855,0.06022727272727273,0,0,0,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,0,0,0,-0.7484276729559733,-0.7484276729559733,-1.0,-1.0
8070,2016-06-15,7.0,6.52,-0.4800000000000004,7.58,9.0,9.52,10.81,7.86,9.43,10.95,12.27,3,55.4389525906815,55.141603789252414,0.0,-0.09999999999999432,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,-0.0006662225183209868,-0.0023279015630195987,0.004856807904873558,0.005287065306426397,0.9558599695585996,0.8855465884079236,1.0101681658193196,0.7992998833138856,6.341348746525788,3,1.46,0.7063572149344098,0.07777777777777778,0,0,0,0,0,0,0,0,0.1514285714285715,0.35428571428571437,0.42857142857142855,0.612857142857143,1,1,1,1,0.1514285714285715,0.35428571428571437,0.42857142857142855,0.612857142857143
9940,2016-06-16,0.7,18.76,18.060000000000002,21.01,19.31,22.34,23.43,21.28,21.28,23.19,25.17,2,70.45887984794287,65.79664113973803,0.75,1.6999999999999993,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0.013295005389867215,0.025454545454545428,0.039823008849557515,0.03325089310250067,1.9945054945054943,2.266267123287671,3.3241711533012186,2.899821109123435,5.1401938962998495,5,2.43,1.1290322580645158,0.02482269503546099,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1,1.0,1.0,1.0,1.0
8074,2016-06-16,1.49,19.7,18.21,21.24,24.86,22.52,22.0,21.35,27.5,27.5,27.5,3,57.30771451169824,58.892184158604124,-0.8999999999999986,1.3000000000000007,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,-0.024045261669024036,-0.0005431830526886996,0.032354591359640965,0.05099482753149499,0.40969162995594716,0.33472367049009377,1.359447004608295,1.5862939888870178,7.746478873239426,4,3.72,0.5708812260536399,0.05398550724637681,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1,1.0,1.0,1.0,1.0
8424,2016-06-17,2.5,25.5,23.0,24.82,25.11,22.66,29.19,25.46,26.53,26.53,29.83,2,77.59573771923355,70.40688791906835,1.5499999999999972,1.6000000000000014,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0.023727006131698036,0.03309120258272798,0.0391719098843109,0.01983002832861186,1.1339563862928348,2.2696897374701672,3.773519163763066,5.704730831973898,15.180265654648961,5,3.68,0.708215297450425,0.06510416666666667,0,0,0,1,-1,-1,-1,1,0.0,0.0,0.0,1.0,0,0,0,1,-0.2719999999999999,-0.15600000000000022,-1.0,1.0
4527,2016-06-17,1.8,17.64,15.84,17.61,18.68,20.3,25.06,18.0,19.0,20.69,25.21,2,60.90827038990649,59.66510221585217,0.1999999999999993,1.0999999999999979,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0.010719754977029141,0.004948610582413348,0.031350717843539364,0.03397630470968368,2.520710059171598,0.2740899357601712,1.1774931381518754,2.375886524822695,4.0615539858728456,5,4.14,0.6870229007633588,0.06818181818181819,0,0,1,1,-1,0,1,1,0.0,0.5777777777777773,1.0,1.0,0,1,1,1,-0.016666666666667298,0.5777777777777773,1.0,1.0
2733,2016-06-02,5.0,55.22,50.22,53.36,50.21,42.82,39.85,59.06,59.06,59.06,59.06,2,65.49411787740684,63.25270721902565,1.8000000000000043,1.6000000000000014,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.027102458051716755,0.026912538452487055,0.04023702896453085,0.06610899593090395,2.007518796992481,1.3255813953488373,0.7391304347826086,1.119205298013245,5.327751878983911,5,4.73,0.41946308724832215,0.0818464560484531,0,0,0,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,0,0,0,-0.3719999999999999,-1.0,-1.0,-1.0
3291,2016-06-02,0.3,14.1,13.799999999999999,13.9,14.9,14.75,14.75,14.3,16.75,16.75,16.75,3,55.46129867194255,52.18618519397739,0.8000000000000007,0.5999999999999996,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0.022727272727272617,0.04196816208393633,0.03653050206946195,-0.010025780578630742,-0.3215339233038348,-0.1851195748449956,-0.02748414376321347,-0.5054206612310725,17.44186046511629,5,1.33,0.5882352941176471,0.020833333333333332,0,1,1,1,-1,1,1,1,0.0,1.0,1.0,1.0,0,1,1,1,-0.6666666666666643,1.0,1.0,1.0
3438,2016-06-02,0.3,23.63,23.33,22.36,23.88,20.91,26.8,23.82,26.99,26.99,36.36,3,55.24777736324793,52.23317430016133,1.3000000000000007,1.5500000000000007,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0.026543878656554627,0.06073327735796246,0.04913494809688579,-0.01147626499739179,-0.2967542503863988,-0.07614213197969544,-0.024128686327077747,-0.4845652789578024,7050.0,4,-0.98,-0.5263157894736842,0.0158311345646438,0,1,1,1,-1,1,1,1,0.0,1.0,1.0,1.0,0,1,1,1,-1.0,1.0,1.0,1.0
